"TIME","GEO","WORKTIME","AGE","UNIT","SEX","Value","Flag and Footnotes"
"1996","Sweden","Part-time","From 15 to 64 years","Percentage of total employment","Total",":",""
"1996","Sweden","Part-time","From 20 to 64 years","Percentage of total employment","Total",":",""
"1996","United Kingdom","Part-time","From 15 to 64 years","Percentage of total employment","Total",":",""
"1996","United Kingdom","Part-time","From 20 to 64 years","Percentage of total employment","Total",":",""
"1996","Iceland","Part-time","From 15 to 64 years","Percentage of total employment","Total",":",""
"1996","Iceland","Part-time","From 20 to 64 years","Percentage of total employment","Total",":",""
"1996","Norway","Part-time","From 15 to 64 years","Percentage of total employment","Total",":",""
"1996","Norway","Part-time","From 20 to 64 years","Percentage of total employment","Total",":",""
"1996","Switzerland","Part-time","From 15 to 64 years","Percentage of total employment","Total",":",""
"1996","Switzerland","Part-time","From 20 to 64 years","Percentage of total employment","Total",":",""
"1996","Former Yugoslav Republic of Macedonia, the","Part-time","From 15 to 64 years","Percentage of total employment","Total",":",""
"1996","Former Yugoslav Republic of Macedonia, the","Part-time","From 20 to 64 years","Percentage of total employment","Total",":",""
"1996","Turkey","Part-time","From 15 to 64 years","Percentage of total employment","Total",":",""
"1996","Turkey","Part-time","From 20 to 64 years","Percentage of total employment","Total",":",""
"1997","European Union (28 countries)","Part-time","From 15 to 64 years","Percentage of total employment","Total",":",""
"1997","European Union (28 countries)","Part-time","From 20 to 64 years","Percentage of total employment","Total",":",""
"1997","European Union (27 countries)","Part-time","From 15 to 64 years","Percentage of total employment","Total",":",""
"1997","European Union (27 countries)","Part-time","From 20 to 64 years","Percentage of total employment","Total",":",""
"1997","European Union (15 countries)","Part-time","From 15 to 64 years","Percentage of total employment","Total","16.5",""
"1997","European Union (15 countries)","Part-time","From 20 to 64 years","Percentage of total employment","Total","15.9",""
"1997","Euro area (19 countries)","Part-time","From 15 to 64 years","Percentage of total employment","Total","14.0",""
"1997","Euro area (19 countries)","Part-time","From 20 to 64 years","Percentage of total employment","Total","13.9",""
"1997","Euro area (18 countries)","Part-time","From 15 to 64 years","Percentage of total employment","Total","14.1",""
"1997","Euro area (18 countries)","Part-time","From 20 to 64 years","Percentage of total employment","Total","13.9",""
"1997","Euro area (17 countries)","Part-time","From 15 to 64 years","Percentage of total employment","Total","14.1",""
"1997","Euro area (17 countries)","Part-time","From 20 to 64 years","Percentage of total employment","Total","13.9",""
"1997","Belgium","Part-time","From 15 to 64 years","Percentage of total employment","Total",":",""
"1997","Belgium","Part-time","From 20 to 64 years","Percentage of total employment","Total",":",""
"1997","Bulgaria","Part-time","From 15 to 64 years","Percentage of total employment","Total",":",""
"1997","Bulgaria","Part-time","From 20 to 64 years","Percentage of total employment","Total",":",""
"1997","Czech Republic","Part-time","From 15 to 64 years","Percentage of total employment","Total",":",""
"1997","Czech Republic","Part-time","From 20 to 64 years","Percentage of total employment","Total",":",""
"1997","Denmark","Part-time","From 15 to 64 years","Percentage of total employment","Total",":",""
"1997","Denmark","Part-time","From 20 to 64 years","Percentage of total employment","Total",":",""
"1997","Germany (until 1990 former territory of the FRG)","Part-time","From 15 to 64 years","Percentage of total employment","Total",":",""
"1997","Germany (until 1990 former territory of the FRG)","Part-time","From 20 to 64 years","Percentage of total employment","Total",":",""
"1997","Estonia","Part-time","From 15 to 64 years","Percentage of total employment","Total",":",""
"1997","Estonia","Part-time","From 20 to 64 years","Percentage of total employment","Total",":",""
"1997","Ireland","Part-time","From 15 to 64 years","Percentage of total employment","Total",":",""
"1997","Ireland","Part-time","From 20 to 64 years","Percentage of total employment","Total",":",""
"1997","Greece","Part-time","From 15 to 64 years","Percentage of total employment","Total",":",""
"1997","Greece","Part-time","From 20 to 64 years","Percentage of total employment","Total",":",""
"1997","Spain","Part-time","From 15 to 64 years","Percentage of total employment","Total","7.8",""
"1997","Spain","Part-time","From 20 to 64 years","Percentage of total employment","Total","7.6",""
"1997","France","Part-time","From 15 to 64 years","Percentage of total employment","Total",":",""
"1997","France","Part-time","From 20 to 64 years","Percentage of total employment","Total",":",""
"1997","France (metropolitan)","Part-time","From 15 to 64 years","Percentage of total employment","Total",":",""
"1997","France (metropolitan)","Part-time","From 20 to 64 years","Percentage of total employment","Total",":",""
"1997","Croatia","Part-time","From 15 to 64 years","Percentage of total employment","Total",":",""
"1997","Croatia","Part-time","From 20 to 64 years","Percentage of total employment","Total",":",""
"1997","Italy","Part-time","From 15 to 64 years","Percentage of total employment","Total","6.8","e"
"1997","Italy","Part-time","From 20 to 64 years","Percentage of total employment","Total","6.7","e"
"1997","Cyprus","Part-time","From 15 to 64 years","Percentage of total employment","Total",":",""
"1997","Cyprus","Part-time","From 20 to 64 years","Percentage of total employment","Total",":",""
"1997","Latvia","Part-time","From 15 to 64 years","Percentage of total employment","Total",":",""
"1997","Latvia","Part-time","From 20 to 64 years","Percentage of total employment","Total",":",""
"1997","Lithuania","Part-time","From 15 to 64 years","Percentage of total employment","Total",":",""
"1997","Lithuania","Part-time","From 20 to 64 years","Percentage of total employment","Total",":",""
"1997","Luxembourg","Part-time","From 15 to 64 years","Percentage of total employment","Total",":",""
"1997","Luxembourg","Part-time","From 20 to 64 years","Percentage of total employment","Total",":",""
"1997","Hungary","Part-time","From 15 to 64 years","Percentage of total employment","Total",":",""
"1997","Hungary","Part-time","From 20 to 64 years","Percentage of total employment","Total",":",""
"1997","Malta","Part-time","From 15 to 64 years","Percentage of total employment","Total",":",""
"1997","Malta","Part-time","From 20 to 64 years","Percentage of total employment","Total",":",""
"1997","Netherlands","Part-time","From 15 to 64 years","Percentage of total employment","Total",":",""
"1997","Netherlands","Part-time","From 20 to 64 years","Percentage of total employment","Total",":",""
"1997","Austria","Part-time","From 15 to 64 years","Percentage of total employment","Total",":",""
"1997","Austria","Part-time","From 20 to 64 years","Percentage of total employment","Total",":",""
"1997","Poland","Part-time","From 15 to 64 years","Percentage of total employment","Total",":",""
"1997","Poland","Part-time","From 20 to 64 years","Percentage of total employment","Total",":",""
"1997","Portugal","Part-time","From 15 to 64 years","Percentage of total employment","Total","8.0",""
"1997","Portugal","Part-time","From 20 to 64 years","Percentage of total employment","Total","8.0",""
"1997","Romania","Part-time","From 15 to 64 years","Percentage of total employment","Total",":",""
"1997","Romania","Part-time","From 20 to 64 years","Percentage of total employment","Total",":",""
"1997","Slovenia","Part-time","From 15 to 64 years","Percentage of total employment","Total",":",""
"1997","Slovenia","Part-time","From 20 to 64 years","Percentage of total employment","Total",":",""
"1997","Slovakia","Part-time","From 15 to 64 years","Percentage of total employment","Total",":",""
"1997","Slovakia","Part-time","From 20 to 64 years","Percentage of total employment","Total",":",""
"1997","Finland","Part-time","From 15 to 64 years","Percentage of total employment","Total",":",""
"1997","Finland","Part-time","From 20 to 64 years","Percentage of total employment","Total",":",""
"1997","Sweden","Part-time","From 15 to 64 years","Percentage of total employment","Total",":",""
"1997","Sweden","Part-time","From 20 to 64 years","Percentage of total employment","Total",":",""
"1997","United Kingdom","Part-time","From 15 to 64 years","Percentage of total employment","Total",":",""
"1997","United Kingdom","Part-time","From 20 to 64 years","Percentage of total employment","Total",":",""
"1997","Iceland","Part-time","From 15 to 64 years","Percentage of total employment","Total",":",""
"1997","Iceland","Part-time","From 20 to 64 years","Percentage of total employment","Total",":",""
"1997","Norway","Part-time","From 15 to 64 years","Percentage of total employment","Total",":",""
"1997","Norway","Part-time","From 20 to 64 years","Percentage of total employment","Total",":",""
"1997","Switzerland","Part-time","From 15 to 64 years","Percentage of total employment","Total",":",""
"1997","Switzerland","Part-time","From 20 to 64 years","Percentage of total employment","Total",":",""
"1997","Former Yugoslav Republic of Macedonia, the","Part-time","From 15 to 64 years","Percentage of total employment","Total",":",""
"1997","Former Yugoslav Republic of Macedonia, the","Part-time","From 20 to 64 years","Percentage of total employment","Total",":",""
"1997","Turkey","Part-time","From 15 to 64 years","Percentage of total employment","Total",":",""
"1997","Turkey","Part-time","From 20 to 64 years","Percentage of total employment","Total",":",""
"1998","European Union (28 countries)","Part-time","From 15 to 64 years","Percentage of total employment","Total",":",""
"1998","European Union (28 countries)","Part-time","From 20 to 64 years","Percentage of total employment","Total",":",""
"1998","European Union (27 countries)","Part-time","From 15 to 64 years","Percentage of total employment","Total",":",""
"1998","European Union (27 countries)","Part-time","From 20 to 64 years","Percentage of total employment","Total",":",""
"1998","European Union (15 countries)","Part-time","From 15 to 64 years","Percentage of total employment","Total","16.9",""
"1998","European Union (15 countries)","Part-time","From 20 to 64 years","Percentage of total employment","Total","16.3",""
"1998","Euro area (19 countries)","Part-time","From 15 to 64 years","Percentage of total employment","Total","14.5",""
"1998","Euro area (19 countries)","Part-time","From 20 to 64 years","Percentage of total employment","Total","14.3",""
"1998","Euro area (18 countries)","Part-time","From 15 to 64 years","Percentage of total employment","Total","14.6",""
"1998","Euro area (18 countries)","Part-time","From 20 to 64 years","Percentage of total employment","Total","14.4",""
"1998","Euro area (17 countries)","Part-time","From 15 to 64 years","Percentage of total employment","Total","14.6",""
"1998","Euro area (17 countries)","Part-time","From 20 to 64 years","Percentage of total employment","Total","14.4",""
"1998","Belgium","Part-time","From 15 to 64 years","Percentage of total employment","Total",":",""
"1998","Belgium","Part-time","From 20 to 64 years","Percentage of total employment","Total",":",""
"1998","Bulgaria","Part-time","From 15 to 64 years","Percentage of total employment","Total",":",""
"1998","Bulgaria","Part-time","From 20 to 64 years","Percentage of total employment","Total",":",""
"1998","Czech Republic","Part-time","From 15 to 64 years","Percentage of total employment","Total","5.1",""
"1998","Czech Republic","Part-time","From 20 to 64 years","Percentage of total employment","Total","5.0",""
"1998","Denmark","Part-time","From 15 to 64 years","Percentage of total employment","Total",":",""
"1998","Denmark","Part-time","From 20 to 64 years","Percentage of total employment","Total",":",""
"1998","Germany (until 1990 former territory of the FRG)","Part-time","From 15 to 64 years","Percentage of total employment","Total",":",""
"1998","Germany (until 1990 former territory of the FRG)","Part-time","From 20 to 64 years","Percentage of total employment","Total",":",""
"1998","Estonia","Part-time","From 15 to 64 years","Percentage of total employment","Total",":",""
"1998","Estonia","Part-time","From 20 to 64 years","Percentage of total employment","Total",":",""
"1998","Ireland","Part-time","From 15 to 64 years","Percentage of total employment","Total",":",""
"1998","Ireland","Part-time","From 20 to 64 years","Percentage of total employment","Total",":",""
"1998","Greece","Part-time","From 15 to 64 years","Percentage of total employment","Total","5.3","b"
"1998","Greece","Part-time","From 20 to 64 years","Percentage of total employment","Total","5.1","b"
"1998","Spain","Part-time","From 15 to 64 years","Percentage of total employment","Total","7.7",""
"1998","Spain","Part-time","From 20 to 64 years","Percentage of total employment","Total","7.5",""
"1998","France","Part-time","From 15 to 64 years","Percentage of total employment","Total",":",""
"1998","France","Part-time","From 20 to 64 years","Percentage of total employment","Total",":",""
"1998","France (metropolitan)","Part-time","From 15 to 64 years","Percentage of total employment","Total",":",""
"1998","France (metropolitan)","Part-time","From 20 to 64 years","Percentage of total employment","Total",":",""
"1998","Croatia","Part-time","From 15 to 64 years","Percentage of total employment","Total",":",""
"1998","Croatia","Part-time","From 20 to 64 years","Percentage of total employment","Total",":",""
"1998","Italy","Part-time","From 15 to 64 years","Percentage of total employment","Total","7.2",""
"1998","Italy","Part-time","From 20 to 64 years","Percentage of total employment","Total","7.2",""
"1998","Cyprus","Part-time","From 15 to 64 years","Percentage of total employment","Total",":",""
"1998","Cyprus","Part-time","From 20 to 64 years","Percentage of total employment","Total",":",""
"1998","Latvia","Part-time","From 15 to 64 years","Percentage of total employment","Total","11.7","e"
"1998","Latvia","Part-time","From 20 to 64 years","Percentage of total employment","Total","11.4","e"
"1998","Lithuania","Part-time","From 15 to 64 years","Percentage of total employment","Total","9.3","e"
"1998","Lithuania","Part-time","From 20 to 64 years","Percentage of total employment","Total","8.7","e"
"1998","Luxembourg","Part-time","From 15 to 64 years","Percentage of total employment","Total",":",""
"1998","Luxembourg","Part-time","From 20 to 64 years","Percentage of total employment","Total",":",""
"1998","Hungary","Part-time","From 15 to 64 years","Percentage of total employment","Total",":",""
"1998","Hungary","Part-time","From 20 to 64 years","Percentage of total employment","Total",":",""
"1998","Malta","Part-time","From 15 to 64 years","Percentage of total employment","Total",":",""
"1998","Malta","Part-time","From 20 to 64 years","Percentage of total employment","Total",":",""
"1998","Netherlands","Part-time","From 15 to 64 years","Percentage of total employment","Total",":",""
"1998","Netherlands","Part-time","From 20 to 64 years","Percentage of total employment","Total",":",""
"1998","Austria","Part-time","From 15 to 64 years","Percentage of total employment","Total",":",""
"1998","Austria","Part-time","From 20 to 64 years","Percentage of total employment","Total",":",""
"1998","Poland","Part-time","From 15 to 64 years","Percentage of total employment","Total",":",""
"1998","Poland","Part-time","From 20 to 64 years","Percentage of total employment","Total",":",""
"1998","Portugal","Part-time","From 15 to 64 years","Percentage of total employment","Total","8.6","b"
"1998","Portugal","Part-time","From 20 to 64 years","Percentage of total employment","Total","8.6","b"
"1998","Romania","Part-time","From 15 to 64 years","Percentage of total employment","Total",":",""
"1998","Romania","Part-time","From 20 to 64 years","Percentage of total employment","Total",":",""
"1998","Slovenia","Part-time","From 15 to 64 years","Percentage of total employment","Total",":",""
"1998","Slovenia","Part-time","From 20 to 64 years","Percentage of total employment","Total",":",""
"1998","Slovakia","Part-time","From 15 to 64 years","Percentage of total employment","Total","2.1",""
"1998","Slovakia","Part-time","From 20 to 64 years","Percentage of total employment","Total","2.1",""
"1998","Finland","Part-time","From 15 to 64 years","Percentage of total employment","Total","11.2",""
"1998","Finland","Part-time","From 20 to 64 years","Percentage of total employment","Total","9.8",""
"1998","Sweden","Part-time","From 15 to 64 years","Percentage of total employment","Total",":",""
"1998","Sweden","Part-time","From 20 to 64 years","Percentage of total employment","Total",":",""
"1998","United Kingdom","Part-time","From 15 to 64 years","Percentage of total employment","Total",":",""
"1998","United Kingdom","Part-time","From 20 to 64 years","Percentage of total employment","Total",":",""
"1998","Iceland","Part-time","From 15 to 64 years","Percentage of total employment","Total",":",""
"1998","Iceland","Part-time","From 20 to 64 years","Percentage of total employment","Total",":",""
"1998","Norway","Part-time","From 15 to 64 years","Percentage of total employment","Total",":",""
"1998","Norway","Part-time","From 20 to 64 years","Percentage of total employment","Total",":",""
"1998","Switzerland","Part-time","From 15 to 64 years","Percentage of total employment","Total",":",""
"1998","Switzerland","Part-time","From 20 to 64 years","Percentage of total employment","Total",":",""
"1998","Former Yugoslav Republic of Macedonia, the","Part-time","From 15 to 64 years","Percentage of total employment","Total",":",""
"1998","Former Yugoslav Republic of Macedonia, the","Part-time","From 20 to 64 years","Percentage of total employment","Total",":",""
"1998","Turkey","Part-time","From 15 to 64 years","Percentage of total employment","Total",":",""
"1998","Turkey","Part-time","From 20 to 64 years","Percentage of total employment","Total",":",""
"1999","European Union (28 countries)","Part-time","From 15 to 64 years","Percentage of total employment","Total",":",""
"1999","European Union (28 countries)","Part-time","From 20 to 64 years","Percentage of total employment","Total",":",""
"1999","European Union (27 countries)","Part-time","From 15 to 64 years","Percentage of total employment","Total",":",""
"1999","European Union (27 countries)","Part-time","From 20 to 64 years","Percentage of total employment","Total",":",""
"1999","European Union (15 countries)","Part-time","From 15 to 64 years","Percentage of total employment","Total","17.1",""
"1999","European Union (15 countries)","Part-time","From 20 to 64 years","Percentage of total employment","Total","16.6",""
"1999","Euro area (19 countries)","Part-time","From 15 to 64 years","Percentage of total employment","Total","14.9",""
"1999","Euro area (19 countries)","Part-time","From 20 to 64 years","Percentage of total employment","Total","14.7",""
"1999","Euro area (18 countries)","Part-time","From 15 to 64 years","Percentage of total employment","Total","15.0",""
"1999","Euro area (18 countries)","Part-time","From 20 to 64 years","Percentage of total employment","Total","14.7",""
"1999","Euro area (17 countries)","Part-time","From 15 to 64 years","Percentage of total employment","Total","15.0",""
"1999","Euro area (17 countries)","Part-time","From 20 to 64 years","Percentage of total employment","Total","14.8",""
"1999","Belgium","Part-time","From 15 to 64 years","Percentage of total employment","Total","17.0","b"
"1999","Belgium","Part-time","From 20 to 64 years","Percentage of total employment","Total","16.8","b"
"1999","Bulgaria","Part-time","From 15 to 64 years","Percentage of total employment","Total",":",""
"1999","Bulgaria","Part-time","From 20 to 64 years","Percentage of total employment","Total",":",""
"1999","Czech Republic","Part-time","From 15 to 64 years","Percentage of total employment","Total","5.0",""
"1999","Czech Republic","Part-time","From 20 to 64 years","Percentage of total employment","Total","4.9",""
"1999","Denmark","Part-time","From 15 to 64 years","Percentage of total employment","Total","21.4","b"
"1999","Denmark","Part-time","From 20 to 64 years","Percentage of total employment","Total","18.2","b"
"1999","Germany (until 1990 former territory of the FRG)","Part-time","From 15 to 64 years","Percentage of total employment","Total",":",""
"1999","Germany (until 1990 former territory of the FRG)","Part-time","From 20 to 64 years","Percentage of total employment","Total",":",""
"1999","Estonia","Part-time","From 15 to 64 years","Percentage of total employment","Total",":",""
"1999","Estonia","Part-time","From 20 to 64 years","Percentage of total employment","Total",":",""
"1999","Ireland","Part-time","From 15 to 64 years","Percentage of total employment","Total","16.4","e"
"1999","Ireland","Part-time","From 20 to 64 years","Percentage of total employment","Total","14.7","e"
"1999","Greece","Part-time","From 15 to 64 years","Percentage of total employment","Total","5.5",""
"1999","Greece","Part-time","From 20 to 64 years","Percentage of total employment","Total","5.3",""
"1999","Spain","Part-time","From 15 to 64 years","Percentage of total employment","Total","7.9",""
"1999","Spain","Part-time","From 20 to 64 years","Percentage of total employment","Total","7.7",""
"1999","France","Part-time","From 15 to 64 years","Percentage of total employment","Total",":",""
"1999","France","Part-time","From 20 to 64 years","Percentage of total employment","Total",":",""
"1999","France (metropolitan)","Part-time","From 15 to 64 years","Percentage of total employment","Total",":",""
"1999","France (metropolitan)","Part-time","From 20 to 64 years","Percentage of total employment","Total",":",""
"1999","Croatia","Part-time","From 15 to 64 years","Percentage of total employment","Total",":",""
"1999","Croatia","Part-time","From 20 to 64 years","Percentage of total employment","Total",":",""
"1999","Italy","Part-time","From 15 to 64 years","Percentage of total employment","Total","7.8",""
"1999","Italy","Part-time","From 20 to 64 years","Percentage of total employment","Total","7.8",""
"1999","Cyprus","Part-time","From 15 to 64 years","Percentage of total employment","Total",":",""
"1999","Cyprus","Part-time","From 20 to 64 years","Percentage of total employment","Total",":",""
"1999","Latvia","Part-time","From 15 to 64 years","Percentage of total employment","Total","11.3","e"
"1999","Latvia","Part-time","From 20 to 64 years","Percentage of total employment","Total","11.0","e"
"1999","Lithuania","Part-time","From 15 to 64 years","Percentage of total employment","Total","9.3","e"
"1999","Lithuania","Part-time","From 20 to 64 years","Percentage of total employment","Total","9.4","e"
"1999","Luxembourg","Part-time","From 15 to 64 years","Percentage of total employment","Total",":",""
"1999","Luxembourg","Part-time","From 20 to 64 years","Percentage of total employment","Total",":",""
"1999","Hungary","Part-time","From 15 to 64 years","Percentage of total employment","Total","3.3",""
"1999","Hungary","Part-time","From 20 to 64 years","Percentage of total employment","Total","3.3",""
"1999","Malta","Part-time","From 15 to 64 years","Percentage of total employment","Total",":",""
"1999","Malta","Part-time","From 20 to 64 years","Percentage of total employment","Total",":",""
"1999","Netherlands","Part-time","From 15 to 64 years","Percentage of total employment","Total",":",""
"1999","Netherlands","Part-time","From 20 to 64 years","Percentage of total employment","Total",":",""
"1999","Austria","Part-time","From 15 to 64 years","Percentage of total employment","Total",":",""
"1999","Austria","Part-time","From 20 to 64 years","Percentage of total employment","Total",":",""
"1999","Poland","Part-time","From 15 to 64 years","Percentage of total employment","Total",":",""
"1999","Poland","Part-time","From 20 to 64 years","Percentage of total employment","Total",":",""
"1999","Portugal","Part-time","From 15 to 64 years","Percentage of total employment","Total","8.6",""
"1999","Portugal","Part-time","From 20 to 64 years","Percentage of total employment","Total","8.6",""
"1999","Romania","Part-time","From 15 to 64 years","Percentage of total employment","Total","13.4",""
"1999","Romania","Part-time","From 20 to 64 years","Percentage of total employment","Total","12.7",""
"1999","Slovenia","Part-time","From 15 to 64 years","Percentage of total employment","Total","5.5",""
"1999","Slovenia","Part-time","From 20 to 64 years","Percentage of total employment","Total","5.0",""
"1999","Slovakia","Part-time","From 15 to 64 years","Percentage of total employment","Total","1.9","b"
"1999","Slovakia","Part-time","From 20 to 64 years","Percentage of total employment","Total","1.9","b"
"1999","Finland","Part-time","From 15 to 64 years","Percentage of total employment","Total","11.8",""
"1999","Finland","Part-time","From 20 to 64 years","Percentage of total employment","Total","10.3",""
"1999","Sweden","Part-time","From 15 to 64 years","Percentage of total employment","Total",":",""
"1999","Sweden","Part-time","From 20 to 64 years","Percentage of total employment","Total",":",""
"1999","United Kingdom","Part-time","From 15 to 64 years","Percentage of total employment","Total",":",""
"1999","United Kingdom","Part-time","From 20 to 64 years","Percentage of total employment","Total",":",""
"1999","Iceland","Part-time","From 15 to 64 years","Percentage of total employment","Total",":",""
"1999","Iceland","Part-time","From 20 to 64 years","Percentage of total employment","Total",":",""
"1999","Norway","Part-time","From 15 to 64 years","Percentage of total employment","Total",":",""
"1999","Norway","Part-time","From 20 to 64 years","Percentage of total employment","Total",":",""
"1999","Switzerland","Part-time","From 15 to 64 years","Percentage of total employment","Total",":",""
"1999","Switzerland","Part-time","From 20 to 64 years","Percentage of total employment","Total",":",""
"1999","Former Yugoslav Republic of Macedonia, the","Part-time","From 15 to 64 years","Percentage of total employment","Total",":",""
"1999","Former Yugoslav Republic of Macedonia, the","Part-time","From 20 to 64 years","Percentage of total employment","Total",":",""
"1999","Turkey","Part-time","From 15 to 64 years","Percentage of total employment","Total",":",""
"1999","Turkey","Part-time","From 20 to 64 years","Percentage of total employment","Total",":",""
"2000","European Union (28 countries)","Part-time","From 15 to 64 years","Percentage of total employment","Total",":",""
"2000","European Union (28 countries)","Part-time","From 20 to 64 years","Percentage of total employment","Total",":",""
"2000","European Union (27 countries)","Part-time","From 15 to 64 years","Percentage of total employment","Total",":",""
"2000","European Union (27 countries)","Part-time","From 20 to 64 years","Percentage of total employment","Total",":",""
"2000","European Union (15 countries)","Part-time","From 15 to 64 years","Percentage of total employment","Total","17.3",""
"2000","European Union (15 countries)","Part-time","From 20 to 64 years","Percentage of total employment","Total","16.7",""
"2000","Euro area (19 countries)","Part-time","From 15 to 64 years","Percentage of total employment","Total","15.2",""
"2000","Euro area (19 countries)","Part-time","From 20 to 64 years","Percentage of total employment","Total","14.9",""
